Royal,Deity,Co-occurrences,Relative frequency
Esarhaddon,Nabu,75,7.64
Esarhaddon,Bel,44,4.48
Esarhaddon,Sin,44,4.48
Esarhaddon,Ištar_Nineveh,39,3.97
Esarhaddon,Ištar_Arbail,35,3.56
Esarhaddon,Enlil,30,3.05
Esarhaddon,Adad,28,2.85
Esarhaddon,Ištar,22,2.24
Esarhaddon,Nergal,19,1.93
Esarhaddon,Nanaya,17,1.73
Esarhaddon,Zarpanitu,14,1.43
Esarhaddon,Ea,9,0.92
Esarhaddon,Anu,8,0.81
Esarhaddon,Ištar-Uruk,8,0.81
Esarhaddon,Nisaba,8,0.81
Esarhaddon,Kulla,7,0.71
Esarhaddon,Atar-samayin,6,0.61
Esarhaddon,Laṣ,6,0.61
Esarhaddon,Ninurta,6,0.61
Esarhaddon,Mullissu,4,0.41
Esarhaddon,Gula,3,0.31
Esarhaddon,Ninagal,3,0.31
Esarhaddon,Nusku,3,0.31
Esarhaddon,Tašmetu,3,0.31
Esarhaddon,Beltiya,2,0.20
Esarhaddon,Igigi,2,0.20
Esarhaddon,Ninšiku,2,0.20
Esarhaddon,Nudimmud,2,0.20
Esarhaddon,Šarur,2,0.20
Esarhaddon,Šeruʾa,2,0.20
Esarhaddon,Asalluhi,1,0.10
Esarhaddon,Aya,1,0.10
Esarhaddon,Belet-ili,1,0.10
Esarhaddon,Dagan,1,0.10
Esarhaddon,Kusu,1,0.10
Esarhaddon,Ningal,1,0.10
Ashurbanipal,Aššur,626,26.53
Ashurbanipal,Ištar,294,12.46
Ashurbanipal,Sin,187,7.92
Ashurbanipal,Nabu,161,6.82
Ashurbanipal,Bel,131,5.55
Ashurbanipal,Šamaš,120,5.08
Ashurbanipal,Marduk,96,4.07
Ashurbanipal,Nusku,95,4.03
Ashurbanipal,Mullissu,84,3.56
Ashurbanipal,Nergal,83,3.52
Ashurbanipal,Ištar_Arbail,82,3.47
Ashurbanipal,Ištar_Nineveh,68,2.88
Ashurbanipal,Ninurta,61,2.58
Assurbanipal,Adad,31,1.31
Ashurbanipal,Enlil,28,1.19
Ashurbanipal,Šarrat-Kidmuri,22,0.93
Ashurbanipal,Ea,20,0.85
Ashurbanipal,Ningal,18,0.76
Ashurbanipal,Aya,14,0.59
Ashurbanipal,Nanna,14,0.59
Ashurbanipal,Erra,11,0.47
Ashurbanipal,Zarpanitu,11,0.47
Ashurbanipal,Kusibanda,9,0.38
Ashurbanipal,Atar-samayin,8,0.34
Ashurbanipal,Lamma-RA.BI,8,0.34
Ashurbanipal,Ninkura,8,0.34
Ashurbanipal,Nanaya,7,0.30
Ashurbanipal,Anu,6,0.25
Ashurbanipal,Kulla,6,0.25
Ashurbanipal,Ninagal,6,0.25
Ashurbanipal,Nisaba,6,0.25
Ashurbanipal,Beltiya,5,0.21
Ashurbanipal,Belet-Arbail,4,0.17
Ashurbanipal,Ištar-Aššuritu,4,0.17
Ashurbanipal,Ištar-Uruk,4,0.17
Ashurbanipal,Tašmetu,4,0.17
Ashurbanipal,Gula,3,0.13
Ashurbanipal,Nudimmud,3,0.13
Ashurbanipal,Palil,3,0.13
Ashurbanipal,Girra,2,0.08
Ashurbanipal,Šeruʾa,2,0.08
Ashurbanipal,Anunnaki,1,0.04
Ashurbanipal,Belet-Babili,1,0.04
Ashurbanipal,Belet-parṣi,1,0.04
Ashurbanipal,Igigi,1,0.04
Ashurbanipal,Šakkan,1,0.04
Naqi’a,Nabu,6,11.54
Naqi’a,Šamaš,6,11.54
Naqi’a,Aššur,4,7.69
Naqi’a,Sin,4,7.69
Naqi’a,Marduk,3,5.77
Naqi’a,Nanaya,3,5.77
Naqi’a,Asalluhi,2,3.85
Naqi’a,Bel,2,3.85
Naqi’a,Ea,2,3.85
